# Reference flux 14214.6936817
# Magnitude zero point 29.7465228468
# mag = zpt - 2.5 * log10(flux)
3894.07289 151.948 374.709805776 B1105-gb5-R-7
3894.08247 242.705 221.35832259 B1106-gb5-R-7
3894.09083 192.651 309.630264456 B1107-gb5-R-7
3894.09795 412.774 267.41528479 B1108-gb5-R-7
3894.10507 -115.747 253.258917468 B1109-gb5-R-7
3894.1122 363.108 228.364485075 B1110-gb5-R-7
3894.12074 -4.33596 357.794466705 B1111-gb5-R-7
3894.13048 109.074 397.2982722 B1112-gb5-R-7
3894.13761 -344.719 416.187817979 B1113-gb5-R-7
3894.14472 280.501 547.6638771 B1114-gb5-R-7
3894.15184 177.212 567.76196008 B1115-gb5-R-7
3894.16614 -111.595 415.283131206 B1116-gb5-R-7
3894.17325 6.08581 482.69767632 B1117-gb5-R-7
3894.18038 289.714 421.0251738 B1118-gb5-R-7
3894.18752 -114.193 423.817177212 B1119-gb5-R-7
3894.19465 67.3931 428.13551264 B1120-gb5-R-7
3894.20308 437.115 418.263538382 B1121-gb5-R-7
3894.21021 238.696 436.960378056 B1122-gb5-R-7
3894.21734 177.975 385.26271434 B1123-gb5-R-7
3894.22444 446.394 442.14780582 B1124-gb5-R-7
3894.23157 339.781 414.507771736 B1125-gb5-R-7
3894.2387 408.652 403.353187857 B1126-gb5-R-7
3894.24582 93.3467 358.894621372 B1127-gb5-R-7
3894.25294 412.976 299.742409616 B1128-gb5-R-7
3894.26007 234.696 387.830880668 B1129-gb5-R-7
3894.26721 240.61 419.799928032 B1130-gb5-R-7
3894.27618 -230.8 376.308237338 B1131-gb5-R-7
3894.2833 -212.885 339.626649549 B1132-gb5-R-7
3894.29042 224.734 454.568628228 B1133-gb5-R-7
3894.89047 86.9047 595.500646719 B1142-gb5-R-7
3894.89758 624.796 507.417337481 B1143-gb5-R-7
3894.91461 -56.0578 562.713006464 B1145-gb5-R-7
3894.92887 10.9744 574.121707482 B1147-gb5-R-7
3894.936 686.345 593.272760366 B1148-gb5-R-7
3894.94524 57.4971 542.004222874 B1149-gb5-R-7
3894.95236 76.005 546.797755084 B1150-gb5-R-7
3894.9666 -762.144 571.24702701 B1152-gb5-R-7
3894.97372 -452.618 588.881133552 B1153-gb5-R-7
3894.98652 -525.127 525.175801056 B1154-gb5-R-7
3894.99364 -58.8199 528.437276043 B1155-gb5-R-7
3895.01502 272.327 598.55560616 B1158-gb5-R-7
3895.04018 383.468 543.82278522 B1160-gb5-R-7
3895.06155 820.454 493.449515342 B1163-gb5-R-7
3895.07419 511.369 560.565161712 B1164-gb5-R-7
3895.08131 -90.3327 419.733445824 B1165-gb5-R-7
3895.08843 354.105 442.19818732 B1166-gb5-R-7
3895.09554 0.0755227 509.2251685 B1167-gb5-R-7
3895.10394 -125.154 459.262256232 B1168-gb5-R-7
3895.11222 -490.54 488.147084436 B1169-gb5-R-7
3895.12193 480.958 495.631476048 B1170-gb5-R-7
3895.15152 -219.165 539.1978233 B1174-gb5-R-7
3895.15865 -127.677 567.505366626 B1175-gb5-R-7
3895.16577 261.219 556.51934576 B1176-gb5-R-7
3895.17291 228.063 529.465123658 B1177-gb5-R-7
3902.94975 -689.01 545.436818555 B1212-gb5-R-7
3902.95828 -45.8954 500.87338128 B1213-gb5-R-7
3902.96546 -187.842 504.041224022 B1214-gb5-R-7
3902.97992 345.346 537.776006304 B1216-gb5-R-7
3902.98717 45.8573 597.532587174 B1217-gb5-R-7
3903.01002 240.68 526.41455082 B1220-gb5-R-7
3903.07273 -426.3 570.49164957 B1226-gb5-R-7
3903.08 644.334 525.7022694 B1227-gb5-R-7
3903.08724 477.845 464.2978375 B1228-gb5-R-7
3903.09448 26.1691 447.249520625 B1229-gb5-R-7
3903.10181 -3721.17 522.54340665 B1230-gb5-R-7
3903.20224 -253.367 462.1262871 B1233-gb5-R-7
3903.20948 -18.7264 504.911849816 B1234-gb5-R-7
3903.21677 33.9148 495.663628304 B1235-gb5-R-7
3903.22401 -4092.54 520.84054916 B1236-gb5-R-7
3903.23124 348.34 579.1557958 B1237-gb5-R-7
3903.2398 -384.898 556.703006126 B1238-gb5-R-7
3903.25433 -160.87 590.405047508 B1240-gb5-R-7
3903.96488 758.649 578.2209862 B1255-gb5-R-7
3904.04991 362.506 569.23754412 B1265-gb5-R-7
3905.17244 -226.938 565.925592375 B1269-gb5-R-7
3905.17974 -104.62 501.04825992 B1270-gb5-R-7
3905.18719 -11.0933 509.71079016 B1271-gb5-R-7
3905.19463 517.718 580.820958477 B1272-gb5-R-7
3905.20201 -276.098 590.189401977 B1273-gb5-R-7
3905.21593 115.11 503.426817888 B1274-gb5-R-7
3905.2238 -508.375 457.944131925 B1275-gb5-R-7
3905.23126 450.439 489.825106 B1276-gb5-R-7
3909.98104 -3467.82 593.45948761 B1410-gb5-R-7
3909.98819 -10.7777 577.75508481 B1411-gb5-R-7
3909.99534 -630.76 583.27385184 B1412-gb5-R-7
3910.02796 64.494 599.941944 B1415-gb5-R-7
3910.04226 -744.523 485.13074688 B1417-gb5-R-7
3910.05781 -576.632 460.06054464 B1419-gb5-R-7
3910.06624 -741.798 593.42947887 B1420-gb5-R-7
3910.07597 -297.162 500.03270052 B1421-gb5-R-7
3910.80329 -195.954 538.927596219 B1425-gb5-R-7
3910.81045 -284.268 571.48785199 B1426-gb5-R-7
3910.82476 142.807 566.822600832 B1428-gb5-R-7
3910.83191 24.3942 532.437322401 B1429-gb5-R-7
3910.8402 -34.3956 543.550755 B1430-gb5-R-7
3910.86164 545.534 582.22325392 B1433-gb5-R-7
3910.86877 296.995 540.068592987 B1434-gb5-R-7
3910.8767 31.8094 572.79716082 B1435-gb5-R-7
3910.89094 327.146 590.70578645 B1437-gb5-R-7
3910.89807 92.9118 525.55271694 B1438-gb5-R-7
3910.91268 407.968 447.07205356 B1440-gb5-R-7
3910.91981 153.526 223.81235663 B1441-gb5-R-7
3910.92693 100.523 202.56542649 B1442-gb5-R-7
3911.07566 -172.894 393.29114267 B1462-gb5-R-7
3911.08278 39.7782 335.766573996 B1463-gb5-R-7
3911.0899 539.088 271.94482341 B1464-gb5-R-7
3911.10453 -25.5795 581.40716404 B1466-gb5-R-7
3911.11167 -448.33 315.119852748 B1467-gb5-R-7
3911.1188 102.197 386.25601774 B1468-gb5-R-7
3911.12593 266.107 418.17106856 B1469-gb5-R-7
3911.13337 246.167 379.52268375 B1470-gb5-R-7
3911.1405 292.879 362.484759104 B1471-gb5-R-7
3911.14763 -140.305 280.451690112 B1472-gb5-R-7
3911.15475 640.922 236.4242094 B1473-gb5-R-7
3911.16187 -295.544 321.687444472 B1474-gb5-R-7
3911.1693 -67.2184 378.56508744 B1475-gb5-R-7
3911.17644 -91.6302 425.33116534 B1476-gb5-R-7
3911.18357 -42.5813 404.293503416 B1477-gb5-R-7
3911.19069 229.912 401.837685718 B1478-gb5-R-7
3911.19781 351.814 432.578774017 B1479-gb5-R-7
3911.20533 332.125 446.27551413 B1480-gb5-R-7
3911.22672 170.752 533.913389368 B1483-gb5-R-7
3911.23384 -160.02 501.7397836 B1484-gb5-R-7
3911.24122 98.5832 476.83485048 B1485-gb5-R-7
3911.24834 39.626 420.366721402 B1486-gb5-R-7
3911.25546 -411.799 486.555561234 B1487-gb5-R-7
3911.26258 158.055 497.956243477 B1488-gb5-R-7
3911.84778 -11.3728 574.453632088 B1495-gb5-R-7
3911.85493 -169.702 594.23629568 B1496-gb5-R-7
3911.86924 430.948 586.5371369 B1498-gb5-R-7
3911.87676 -177.695 514.1280222 B1499-gb5-R-7
3911.88391 139.252 507.92719152 B1500-gb5-R-7
3911.89107 156.281 462.402643342 B1501-gb5-R-7
3911.89823 -251.199 475.567377164 B1502-gb5-R-7
3911.90538 364.945 397.744612195 B1503-gb5-R-7
3911.91287 -320.477 372.401979954 B1504-gb5-R-7
3911.92002 95.9519 369.284259204 B1505-gb5-R-7
3911.92716 711.422 488.423095589 B1506-gb5-R-7
