# Event:     2006-BLG-98
# Object ID: gb11-9-260
# Reference flux = 2088.4
3921.09513 641.713 341.539
3921.17092 1161.99 527.028
3921.81483 612.471 358.329
3921.89955 391.187 293.578
3922.08639 642.715 361.934
3922.15641 790.072 305.054
3922.80319 1078.95 719.373
3922.84377 -199.596 1307.42
3922.88864 707.33 445.793
3922.93017 42.6601 479.34
3922.9709 827.837 553.494
3923.01157 889.512 562.485
3923.05657 1441.49 552.831
3923.10992 113.098 538.521
3923.15234 1006.17 382.476
3923.19296 966.999 339.456
3927.86716 4228.73 1667.59
3927.94694 345.444 889.297
3927.98626 1114.48 537.08
3928.02333 -788.548 994.349
3929.82041 587.102 321.818
3929.85774 1303.62 401.173
3929.89485 1292.73 420.861
3930.82742 1033.95 285.589
3930.86365 910.574 357.719
3930.89999 705.405 635.594
3930.93577 1764.94 529.037
3930.97293 593.153 328.789
3931.0139 437.792 315.672
3931.05335 1049.58 424.229
3931.08958 619.306 370.668
3931.12676 866.227 448.886
3931.16314 1492.53 343.025
3931.20017 628.545 626.503
3931.79915 1986.34 382.66
3931.8349 1858.13 231.516
3931.87071 1743.0 358.045
3931.90647 1347.63 325.505
3931.94315 1475.61 367.892
3931.97927 2017.34 439.061
3932.02038 1847.68 443.602
3932.05741 2352.21 389.693
3932.09324 2028.77 384.441
3932.12907 2606.56 358.224
3932.1666 3040.95 444.892
3932.20286 3276.58 350.97
3932.81735 11220.5 1314.31
3932.85378 18919.0 497.77
3932.88953 25352.9 569.069
3932.92531 37016.3 671.171
3932.96117 61938.7 661.434
3932.9985 76078.5 984.655
3933.03727 54856.0 740.896
3933.07418 33004.7 553.641
3933.11005 22735.8 456.889
3933.14621 17471.6 473.302
3933.18215 14153.0 403.634
3936.79846 544.484 378.083
3936.83609 228.734 326.267
3936.87241 165.323 992.927
3936.90961 50.0684 377.067
3936.94609 565.727 297.638
3936.98434 375.15 443.138
3937.02474 1095.54 452.781
3937.16528 -76.7128 609.769
3937.93541 596.447 248.436
3937.97189 624.906 280.184
3938.01106 419.332 353.746
3938.0478 989.394 334.481
3938.79302 468.46 388.354
3938.83019 990.148 300.29
3938.86796 791.485 336.589
3938.90474 350.378 342.829
3938.94219 549.502 272.781
3938.98037 621.626 248.344
3939.01965 1102.29 335.47
3939.05754 848.083 336.408
